[16:06:45.705] [INFO   ] thread main starting.
[16:06:45.712] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:06:45.715] [SEVERE ] configuration file was loaded from resources directory.
[16:06:48.222] [INFO   ] thread dealer starting.
[16:06:48.224] [INFO   ] Thread dealer starting.
[16:06:48.224] [INFO   ] Thread player 0 starting.
[16:06:48.225] [SEVERE ] updating countdown to 60000
[16:06:48.225] [INFO   ] Thread player 3 starting.
[16:06:48.225] [INFO   ] Thread player 1 starting.
[16:06:48.225] [INFO   ] Thread player 2 starting.
[16:06:48.233] [INFO   ] Thread computer-1 starting.
[16:06:48.229] [INFO   ] Thread computer-3 starting.
[16:06:48.227] [INFO   ] Thread computer-0 starting.
[16:06:48.234] [INFO   ] Thread computer-2 starting.
[16:06:48.419] [SEVERE ] placing card 16 in slot 0
[16:06:48.419] [SEVERE ] player 4 placing token on slot 0
[16:06:48.423] [SEVERE ] player 3 placing token on slot 0
[16:06:48.424] [SEVERE ] removing player 3 token from slot 0
[16:06:48.424] [SEVERE ] player 1 placing token on slot 0
[16:06:48.425] [SEVERE ] removing player 1 token from slot 0
[16:06:48.425] [SEVERE ] player 3 placing token on slot 0
[16:06:48.425] [SEVERE ] removing player 4 token from slot 0
[16:06:48.429] [SEVERE ] player 1 placing token on slot 0
[16:06:48.429] [SEVERE ] removing player 3 token from slot 0
[16:06:48.430] [SEVERE ] removing player 1 token from slot 0
[16:06:48.431] [SEVERE ] player 2 placing token on slot 0
[16:06:48.436] [SEVERE ] player 1 placing token on slot 0
[16:06:48.437] [SEVERE ] player 4 placing token on slot 0
[16:06:48.437] [SEVERE ] player 3 placing token on slot 0
[16:06:48.437] [SEVERE ] removing player 4 token from slot 0
[16:06:48.437] [SEVERE ] removing player 2 token from slot 0
[16:06:48.438] [SEVERE ] removing player 3 token from slot 0
[16:06:48.438] [SEVERE ] player 4 placing token on slot 0
[16:06:48.444] [SEVERE ] removing player 4 token from slot 0
[16:06:48.444] [SEVERE ] player 3 placing token on slot 0
[16:06:48.445] [SEVERE ] player 2 placing token on slot 0
[16:06:48.445] [SEVERE ] removing player 3 token from slot 0
[16:06:48.447] [SEVERE ] player 4 placing token on slot 0
[16:06:48.447] [SEVERE ] removing player 1 token from slot 0
[16:06:48.447] [SEVERE ] removing player 2 token from slot 0
[16:06:48.448] [SEVERE ] player 3 placing token on slot 0
[16:06:48.448] [SEVERE ] removing player 4 token from slot 0
[16:06:48.450] [SEVERE ] removing player 3 token from slot 0
[16:06:48.450] [SEVERE ] player 2 placing token on slot 0
[16:06:48.450] [SEVERE ] removing player 2 token from slot 0
[16:06:48.450] [SEVERE ] player 3 placing token on slot 0
[16:06:48.452] [SEVERE ] removing player 3 token from slot 0
[16:06:48.452] [SEVERE ] player 1 placing token on slot 0
[16:06:48.452] [SEVERE ] removing player 1 token from slot 0
[16:06:48.452] [SEVERE ] player 4 placing token on slot 0
[16:06:48.452] [SEVERE ] removing player 4 token from slot 0
[16:06:48.453] [SEVERE ] player 3 placing token on slot 0
[16:06:48.453] [SEVERE ] removing player 3 token from slot 0
[16:06:48.453] [SEVERE ] player 2 placing token on slot 0
[16:06:48.454] [SEVERE ] removing player 2 token from slot 0
[16:06:48.454] [SEVERE ] player 4 placing token on slot 0
[16:06:48.454] [SEVERE ] removing player 4 token from slot 0
[16:06:48.454] [SEVERE ] player 3 placing token on slot 0
[16:06:48.455] [SEVERE ] removing player 3 token from slot 0
[16:06:48.455] [SEVERE ] player 2 placing token on slot 0
[16:06:48.455] [SEVERE ] removing player 2 token from slot 0
[16:06:48.455] [SEVERE ] player 1 placing token on slot 0
[16:06:48.455] [SEVERE ] removing player 1 token from slot 0
[16:06:48.455] [SEVERE ] player 3 placing token on slot 0
[16:06:48.456] [SEVERE ] removing player 3 token from slot 0
[16:06:48.456] [SEVERE ] player 4 placing token on slot 0
[16:06:48.456] [SEVERE ] removing player 4 token from slot 0
[16:06:48.456] [SEVERE ] player 1 placing token on slot 0
[16:06:48.457] [SEVERE ] removing player 1 token from slot 0
[16:06:48.457] [SEVERE ] player 2 placing token on slot 0
[16:06:48.457] [SEVERE ] removing player 2 token from slot 0
[16:06:48.457] [SEVERE ] player 4 placing token on slot 0
[16:06:48.458] [SEVERE ] removing player 4 token from slot 0
[16:06:48.458] [SEVERE ] player 3 placing token on slot 0
[16:06:48.458] [SEVERE ] removing player 3 token from slot 0
[16:06:48.458] [SEVERE ] player 2 placing token on slot 0
[16:06:48.458] [SEVERE ] removing player 2 token from slot 0
[16:06:48.458] [SEVERE ] player 1 placing token on slot 0
[16:06:48.459] [SEVERE ] removing player 1 token from slot 0
[16:06:48.459] [SEVERE ] player 4 placing token on slot 0
[16:06:48.459] [SEVERE ] removing player 4 token from slot 0
[16:06:48.459] [SEVERE ] player 1 placing token on slot 0
[16:06:48.459] [SEVERE ] removing player 1 token from slot 0
[16:06:48.459] [SEVERE ] player 4 placing token on slot 0
[16:06:48.460] [SEVERE ] removing player 4 token from slot 0
[16:06:48.460] [SEVERE ] player 1 placing token on slot 0
[16:06:48.461] [SEVERE ] removing player 1 token from slot 0
[16:06:48.461] [SEVERE ] player 2 placing token on slot 0
[16:06:48.461] [SEVERE ] removing player 2 token from slot 0
[16:06:48.461] [SEVERE ] player 1 placing token on slot 0
[16:06:48.476] [SEVERE ] removing player 1 token from slot 0
[16:06:48.476] [SEVERE ] player 4 placing token on slot 0
[16:06:48.477] [SEVERE ] removing player 4 token from slot 0
[16:06:48.477] [SEVERE ] player 2 placing token on slot 0
[16:06:48.478] [SEVERE ] removing player 2 token from slot 0
[16:06:48.478] [SEVERE ] player 3 placing token on slot 0
[16:06:48.479] [SEVERE ] removing player 3 token from slot 0
[16:06:48.479] [SEVERE ] player 4 placing token on slot 0
[16:06:48.480] [SEVERE ] removing player 4 token from slot 0
[16:06:48.480] [SEVERE ] player 1 placing token on slot 0
[16:06:48.484] [SEVERE ] player 2 placing token on slot 0
[16:06:48.484] [SEVERE ] removing player 1 token from slot 0
[16:06:48.486] [SEVERE ] player 3 placing token on slot 0
[16:06:48.489] [SEVERE ] removing player 3 token from slot 0
[16:06:48.489] [SEVERE ] removing player 2 token from slot 0
[16:06:48.489] [SEVERE ] player 3 placing token on slot 0
[16:06:48.490] [SEVERE ] removing player 3 token from slot 0
[16:06:48.490] [SEVERE ] player 1 placing token on slot 0
[16:06:48.490] [SEVERE ] removing player 1 token from slot 0
[16:06:48.490] [SEVERE ] player 3 placing token on slot 0
[16:06:48.491] [SEVERE ] removing player 3 token from slot 0
[16:06:48.491] [SEVERE ] player 2 placing token on slot 0
[16:06:48.491] [SEVERE ] removing player 2 token from slot 0
[16:06:48.491] [SEVERE ] player 1 placing token on slot 0
[16:06:48.492] [SEVERE ] removing player 1 token from slot 0
[16:06:48.492] [SEVERE ] player 4 placing token on slot 0
[16:06:48.492] [SEVERE ] removing player 4 token from slot 0
[16:06:48.492] [SEVERE ] player 2 placing token on slot 0
[16:06:48.495] [SEVERE ] removing player 2 token from slot 0
[16:06:48.495] [SEVERE ] player 3 placing token on slot 0
[16:06:48.506] [SEVERE ] removing player 3 token from slot 0
[16:06:48.506] [SEVERE ] player 1 placing token on slot 0
[16:06:48.506] [SEVERE ] removing player 1 token from slot 0
[16:06:48.506] [SEVERE ] player 2 placing token on slot 0
[16:06:48.507] [SEVERE ] removing player 2 token from slot 0
[16:06:48.507] [SEVERE ] player 4 placing token on slot 0
[16:06:48.507] [SEVERE ] removing player 4 token from slot 0
[16:06:48.507] [SEVERE ] player 1 placing token on slot 0
[16:06:48.507] [SEVERE ] removing player 1 token from slot 0
[16:06:48.507] [SEVERE ] player 3 placing token on slot 0
[16:06:48.508] [SEVERE ] removing player 3 token from slot 0
[16:06:48.508] [SEVERE ] player 4 placing token on slot 0
[16:06:48.508] [SEVERE ] removing player 4 token from slot 0
[16:06:48.508] [SEVERE ] player 2 placing token on slot 0
